CityName;OrganisationID;OrganisationName;CountryName;CityLocation;GCoMCity;C40City
Monaco;50792;City-State of Monaco;Monaco;POINT (7.42081 43.7374);false;false
Santa Rosa;60007;City of Santa Rosa;Philippines;POINT (121.089 14.2843);true;false
Bujumbura;60633;La mairie de Bujumbura;Burundi;POINT (29.3599 -3.36137);true;false
Lakewood;54075;City of Lakewood, CO;USA;POINT (-105.081 39.7047);true;false
Solna;60187;City of Solna;Sweden;;false;false
Chefchaouen;834082;City of Chefchaouen;Morocco;POINT (-5.2636 35.1688);false;false
Chapel Hill;59588;Town of Chapel Hill, NC;USA;POINT (-79.0558 35.9132);false;false
Zagreb;43921;City of Zagreb;Croatia;POINT (15.9819 45.815);true;false
Easton;58590;City of Easton, PA;USA;POINT (-75.2207 40.6884);true;false
Bucaramanga;50380;Municipio de Bucaramanga;Colombia;POINT (-73.1227 7.11034);true;false
St. Petersburg;49172;City of St. Petersburg, FL;USA;;true;false
Denver;32550;City of Denver, CO;USA;POINT (-104.985 39.7376);true;false
Halifax;50543;Halifax Regional Municipality, NS;Canada;POINT (-63.5714 44.6478);true;false
Brussels;35854;City of Brussels;Belgium;POINT (4.34878 50.8505);true;false
MÃ©rida;50382;Municipio de MÃ©rida;Mexico;POINT (-89.5926 20.9674);true;false
Cleveland;35859;City of Cleveland, OH;USA;POINT (-81.6944 41.4993);true;false
Lima;31170;Metropolitan Municipality of Lima;Peru;POINT (-77.0283 -12.0433);true;true
Belfast;31054;Belfast City Council;United Kingdom;;false;false
LeÃ³n de los Aldamas;50359;Gobierno Municipal de LeÃ³n de los Aldamas;Mexico;POINT (-101.684 21.1221);true;false
Memphis;36410;City of Memphis, TN;USA;POINT (-90.049 35.1495);true;false
Davao;54345;City Government of Davao;Philippines;POINT (125.625 7.07475);false;false
Hamilton;50555;City of Hamilton, ON;Canada;POINT (-79.8661 43.25);true;false
Oakland;50560;City of Oakland, CA;USA;POINT (-122.271 37.8044);true;false
Fredensborg;63543;Fredensborg Municipality;Denmark;POINT (12.4058 55.9747);true;false
Goyang-si;44187;Goyang City;Republic of Korea;;true;false
Lahti;54402;City of Lahti;Finland;POINT (25.65 60.9833);true;false
Santiago de Cali;36037;Santiago de Cali;Colombia;POINT (-76.532 3.45164);true;false
Manta;862946;Manta;Ecuador;;true;false
Valongo;826427;Municipality of Valongo;Portugal;POINT (-8.49835 41.1887);false;false
Washington, DC;31090;District of Columbia, DC;USA;POINT (-77.0369 38.9072);true;true
Auckland;43932;Auckland Council;New Zealand;POINT (174.742 -36.8153);true;true
Chula Vista;50562;City of Chula Vista, CA;USA;POINT (-117.084 32.64);true;false
Magdalena del Mar;43975;Municipalidad de Magdalena del Mar;Peru;POINT (-77.067 -12.0917);true;false
Quito;42178;Distrito Metropolitano de Quito;Ecuador;POINT (-78.5167 -0.2333);true;true
Cartagena;50374;Alcaldia Distrital de Cartagena de Indias;Colombia;POINT (-75.5264 10.4199);true;false
Ann Arbor;54092;City of Ann Arbor, MI;USA;POINT (-83.743 42.2808);true;false
ROUEN Cedex;62171;Metropolitan Municipality of Rouen;France;;false;false
Winston-Salem;52894;City of Winston-Salem, NC;USA;POINT (-80.2442 36.0999);false;false
Reigate;862520;Surrey County Council;United Kingdom;;false;false
Lima;840018;Municipalidad Distrital de Ate;Peru;POINT (-76.8773 -12.0327);true;false
Cardiff;31052;City of Cardiff;United Kingdom;POINT (-3.17909 51.4816);true;false
VÃ¤stervik Municipality;69824;VÃ¤stervik Municipality;Sweden;POINT (16.3484 57.9587);false;false
VÃ¤xjÃ¶;60216;VÃ¤xjÃ¶ Municipality;Sweden;POINT (14.8091 56.8777);true;false
Sacramento;35878;City of Sacramento, CA;USA;POINT (-121.494 38.5816);false;false
Honolulu;49339;City and County of Honolulu, HI;USA;POINT (157.59 21.28);true;false
Mannheim;43926;City of Mannheim;Germany;POINT (8.46603 49.4875);true;false
Canoas;55372;Prefeitura Municipal de Canoas;Brazil;POINT (-51.1862 -29.9133);true;false
Gwangju-si;44181;Gwangju Metropolitan City;Republic of Korea;;true;false
Houston;31108;City of Houston, TX;USA;POINT (-95.3694 29.7602);true;true
Bangkok;31150;Bangkok Metropolitan Administration;Thailand;POINT (100.556 13.7712);true;true
Trondheim;54488;Trondheim Municipality;Norway;POINT (10.395 63.4305);true;false
Ugu;54559;Ugu District Municipality;South Africa;POINT (30.2513 -30.6218);false;false
Abasan Al-Kabira;63616;Abasan Al-Kabira Municipality;State of Palestine;POINT (34.344 31.3231);true;false
Albany;54102;City of Albany, NY;USA;POINT (-73.7562 42.6526);true;false
Bournemouth;54521;BCP Council;United Kingdom;POINT (-1.88076 50.7192);true;false
Milwaukee;43908;City of Milwaukee, WI;USA;POINT (-87.9065 43.0389);true;false
ApuÃ­;840076;Prefeitura de ApuÃ­;Brazil;POINT (-69.14 1.22);false;false
Norwich;60108;Norwich City Council;United Kingdom;POINT (1.2974 52.6309);false;false
Yokohama;31113;City of Yokohama;Japan;POINT (139.638 35.4437);true;true
Dubuque;54116;City of Dubuque, IA;USA;POINT (-90.5071 42.5006);true;false
Tirana;59163;Municipality of Tirana;Albania;POINT (19.8187 41.3275);true;false
Laholm;840195;Laholm Municipality;Sweden;POINT (13.03 56.51);false;false
Piura;54619;Municipalidad  Provincial de Piura;Peru;;true;false
SÃ£o Leopoldo;60349;Prefeitura de SÃ£o Leopoldo;Brazil;POINT (-51.1493 -29.761);true;false
Dakar;831615;Pikine;Senegal;POINT (-17.3997 14.7529);true;false
Los Angeles;10894;City of Los Angeles, CA;USA;POINT (-118.244 34.0522);true;true
Arendal;60229;Arendal Municipality;Norway;POINT (8.77245 58.4618);true;false
Shoreline;74568;City of Shoreline, WA;USA;;false;false
Quebec;49326;Ville de Quebec, QC;Canada;;false;false
Abidjan;73413;Commune de Cocody;CÃ´te d'Ivoire;POINT (-4.00331 5.33369);true;false
Ulsan-si;44184;Ulsan Metropolitan City;Republic of Korea;;true;false
Dubai;43938;The Executive Council, Govt of Dubai;United Arab Emirates;POINT (55.2708 25.2048);true;true
Kuala Lumpur;54364;City of Kuala Lumpur;Malaysia;POINT (101.687 3.139);true;true
Accra;36039;Accra Metropolitan Assembly;Ghana;POINT (-0.16819 5.56543);true;true
New York City;3417;New York City, NY;USA;POINT (-74.0059 40.7128);true;true
Salvador;42120;City of Salvador;Brazil;POINT (-38.5023 -12.973);true;true
JIMAV;826207;Junta Intermunicipal de Medio Ambiente Region Valles (JIMAV);Mexico;POINT (-104.367 19.7682);true;false
San Borja;60391;Municipalidad de San Borja;Peru;POINT (-12.1078 -76.9989);true;false
Cambridge;60104;Cambridge City Council;United Kingdom;POINT (0.16353 52.2077);false;false
Taipei;31446;Taipei City Government;East Asia;POINT (121.564 25.0375);true;false
Elva;60231;Municipality of Elva;Estonia;;false;false
TsÃ©viÃ©;831616;Commune de TsÃ©viÃ©;Togo;POINT (1.21333 6.42611);true;false
Suwon;44185;Suwon City;Republic of Korea;POINT (126.805 37.17);true;false
Vicente LÃ³pez;55371;Municipalidad de Vicente LÃ³pez;Argentina;POINT (-68.833 -32.8941);true;false
Padova;36494;City of Padua;Italy;POINT (11.8768 45.4064);true;false
Portland;35274;City of Portland, ME;USA;POINT (-70.2553 43.6615);false;false
Venezia;36254;City of Venice;Italy;POINT (12.3211 45.4333);true;false
Evanston;59678;City of Evanston, IL;USA;POINT (-87.6898 42.0669);true;false
Maputo;43935;Maputo Metropolitan Area;Mozambique;;true;false
Tempe;53921;City of Tempe, AZ;USA;POINT (-111.94 33.4255);true;false
Mississauga;59538;City of Mississauga, ON;Canada;POINT (43.589 -79.6441);true;false
Eau Claire;834083;City of Eau Claire, WI;USA;;true;false
Worcester;53899;City of Worcester, MA;USA;;false;false
Rotterdam;31179;Municipality of Rotterdam;Netherlands;POINT (4.45093 51.9164);true;true
Pittsburgh;35877;City of Pittsburgh, PA;USA;POINT (-79.9959 40.4406);true;false
Johannesburg;31115;City of Johannesburg;South Africa;POINT (28.0473 -26.2041);true;true
Sabaneta;73687;Sabaneta;Colombia;;true;false
Edinburgh;31056;Edinburgh City Council;United Kingdom;;true;false
Loja;69848;Municipio de Loja;Ecuador;POINT (-3.99313 -79.2042);true;false
Chennai;35905;Corporation of Chennai;India;POINT (80.2425 13.0992);false;true
Paris;31175;City of Paris;France;POINT (2.35222 48.8566);true;true
Ahmedabad;46263;Amdavad Municipal Corporation (Ahmedabad);India;;true;true
UmeÃ¥;54510;UmeÃ¥ Municipality;Sweden;POINT (20.263 63.8258);true;false
Piracicaba;54658;Prefeitura do MunicÃ­pio de Piracicaba;Brazil;;true;false
Sorocaba;50383;Prefeitura de Sorocaba;Brazil;POINT (-47.4221 -23.4775);true;false
Walvis Bay;60638;Walvis Bay Municipality;Namibia;POINT (12.5247 -22.9389);true;false
Iskandar;54388;Iskandar Regional Development Authority;Malaysia;POINT (100.992 1.45556);true;false
Santa Fe County;74531;Santa Fe County, NM;USA;POINT (-106 35.5);false;false
Dallas;35860;City of Dallas, TX;USA;POINT (-96.8004 32.7801);false;false
Tallinn;36152;City of Tallinn;Estonia;POINT (24.7536 59.437);true;false
Alexandria;53931;City of Alexandria, VA;USA;;false;false
Sudbury;54060;City of Greater Sudbury / Grand Sudbury, ON;Canada;POINT (-80.9645 46.5268);false;false
Seoul;31187;Seoul Metropolitan Government;Republic of Korea;POINT (126.978 37.5665);true;true
Ansan-si;44191;Ansan City;Republic of Korea;;true;false
Mumbai;31178;City of Mumbai;India;;true;true
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
